Date,Race Time,Course,Horse,Odds,Confidence,Position,Mode,Profit,Stake
2025-05-19,4:15,Redcar,Muscika,16.5,0.9661411046981812,1,advised,8.9,1.0
2025-05-19,4:30,Carlisle,Twisting Physics,4.0,0.9873335361480712,2,advised,-1.0,1.0
2025-05-19,4:45,Redcar,Novello Lad,2.82,0.9724331498146056,3,advised,-1.0,1.0
2025-05-19,5:00,Carlisle,Heavenly Heather,12.0,0.989328920841217,4,advised,-1.0,1.0
2025-05-19,5:10,Roscommon,Letters Of Love,10.5,0.957267165184021,3,advised,0.05,1.0
2025-05-19,5:15,Redcar,I Can Boogy,20.0,0.9642261266708374,1,advised,11.0,1.0
2025-05-19,5:20,Windsor,Faustus,27.0,0.9795709848403932,4,advised,-1.0,1.0
2025-05-19,5:30,Carlisle,Harry Palmer,9.0,0.993124783039093,5,advised,-1.0,1.0
2025-05-19,5:40,Roscommon,Divelment,3.55,0.9560968279838562,3,advised,-1.0,1.0
2025-05-19,5:50,Windsor,Canyouhearthedrums,9.8,0.9251458048820496,9,advised,-1.0,1.0
2025-05-19,6:10,Roscommon,Carrickfinn,65.0,0.9407947659492492,9,advised,-1.0,1.0
2025-05-19,6:20,Windsor,Blue Bolt,5.0,0.9721859693527222,1,advised,2.0,1.0
2025-05-19,6:40,Roscommon,Mocking,3.15,0.8886240124702454,2,advised,-0.75,0.75
2025-05-19,7:10,Roscommon,Chavajod,7.8,0.9696425795555116,7,advised,-1.0,1.0
2025-05-19,7:20,Windsor,Fast Steps,22.0,0.9765125513076782,3,advised,1.2,1.0
2025-05-19,7:30,Wolverhampton (AW),Invincible Ruby,16.0,0.9432246685028076,7,advised,-1.0,1.0
2025-05-19,7:40,Roscommon,Ozark Daze,9.8,0.9605146050453186,4,advised,-1.0,1.0
2025-05-19,7:50,Windsor,Epimeteo,17.0,0.98386949300766,7,advised,-1.0,1.0
2025-05-19,8:00,Wolverhampton (AW),Medinilla,4.3,0.9790960550308228,1,advised,3.3,1.0
2025-05-19,8:10,Roscommon,Enziya,2.96,0.9687605500221252,3,advised,-1.0,1.0
2025-05-19,8:30,Wolverhampton (AW),Rock N Roll Rocket,8.2,0.983198583126068,1,advised,3.92,1.0
2025-05-20,3:20,Southwell,El Muchacho,2.36,0.9036847949028016,3,advised,-1.0,1.0
2025-05-20,3:32,Nottingham,Zaramara,11.5,0.9888849258422852,6,advised,-1.0,1.0
2025-05-20,3:40,Lingfield,Brasil Power,10.0,0.9828398823738098,2,advised,-1.0,1.0
2025-05-20,4:02,Nottingham,Ciara Pearl,5.3,0.9873968958854676,1,advised,2.18,1.0
2025-05-20,4:10,Lingfield,Flickas Girl,0.0,0.9892235994338988,8,advised,-1.0,1.0
2025-05-20,4:20,Southwell,Klervia,310.0,0.9792856574058532,2,advised,30.0,1.0
2025-05-20,4:32,Nottingham,Serenity Blue,3.35,0.984916090965271,1,advised,2.35,1.0
2025-05-20,4:40,Lingfield,Honour Your Dreams,2.02,0.9874560236930848,1,advised,1.02,1.0
2025-05-20,5:05,Nottingham,Man Of La Mancha,2.0,0.9892534613609314,3,advised,-1.0,1.0
2025-05-20,5:15,Cork,Baker Blue,5.8,0.812198281288147,3,advised,-0.32,0.75
2025-05-20,5:25,Southwell,Grandads Cap,2.48,0.8584207892417908,4,advised,-0.75,0.75
2025-05-20,5:50,Cork,Beauty Queen,10.0,0.972448229789734,6,advised,-1.0,1.0
2025-05-20,5:58,Hexham,Dakota Beat,30.0,0.938182532787323,4,advised,-1.0,1.0
2025-05-20,6:10,Huntingdon,Alvesta,7.8,0.9067538976669312,4,advised,-1.0,1.0
2025-05-20,6:20,Cork,Nezeeh,0.0,0.9769659638404846,1,advised,-1.0,1.0
2025-05-20,6:40,Huntingdon,Velvet Vulcan,8.8,0.9846013784408568,4,advised,-1.0,1.0
2025-05-20,6:50,Cork,Twotolose,6.6,0.9492378830909728,4,advised,-1.0,1.0
2025-05-20,6:58,Hexham,Deep Strato,7.2,0.9870556592941284,7,advised,-1.0,1.0
2025-05-20,7:10,Huntingdon,Jassur Des Brosses,100.0,0.944619357585907,6,advised,-1.0,1.0
2025-05-20,7:20,Cork,Hightimeyouwon,8.2,0.977929949760437,1,advised,3.92,1.0
