Date,Meeting,Time,EW/Win,Jockey,Horse,Odds,SP,Value,Result,Stake,Profit,Running Profit,Best Odds,Running Profit Best Odds
2025-05-26,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-26,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-27,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-27,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-27,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-19,Redcar,1:45,EW,Ben Robinson,Willowinghurn,17.5,17.5,100.0,1,1.0,9.5,9.5,17.5,9.5
2025-05-19,Redcar,2:15,EW,Duran Fentiman,Lope Y Linda,18.5,18.5,100.0,5,1.0,-0.5,9.0,18.5,9.0
2025-05-19,Carlisle,2:30,EW,Paul Mulrennan,Call Margot,9.2,9.2,100.0,5,1.0,-0.5,8.5,9.2,8.5
2025-05-19,Redcar,2:45,EW,Billy Loughnane,Early Release,5.9,5.9,100.0,6,1.0,-0.5,8.0,5.9,8.0
2025-05-19,Carlisle,3:00,Win,Paul Mulrennan,Water Of Leith,3.35,3.35,100.0,2,1.0,-1.0,7.0,3.35,7.0
2025-05-19,Carlisle,3:30,EW,William Pyle(3),Kats Bob,12.0,12.0,100.0,3,1.0,0.7,7.7,12.0,7.7
2025-05-19,Redcar,3:45,EW,David Nolan,Rajapour,9.8,9.8,100.0,4,1.0,-0.5,7.2,9.8,7.2
2025-05-19,Carlisle,4:00,EW,P J Mcdonald,Billy Bathgate,10.5,10.5,100.0,3,1.0,0.55,7.75,10.5,7.75
2025-05-19,Redcar,4:15,EW,Ben Robinson,Muscika,16.5,16.5,100.0,1,1.0,8.9,16.65,16.5,16.65
2025-05-19,Carlisle,4:30,Win,Kevin Stott,Twisting Physics,4.0,4.0,100.0,2,1.0,-1.0,15.65,4.0,15.65
